"ZEIT";"RAUMID";"BEZ";"PGR";"BZR";"PLR";"STADTRAUM";"WLEINFoL";"WLEINFmL";"WLMIToL";"WLMITmL";"WLGUToL";"WLGUTmL";"WLNZORD"
"201213";"07060602";"07";"06";"06";"02";"2";358;103;3683;464;0;0;0
"201213";"07060603";"07";"06";"06";"03";"2";2314;409;4;0;0;0;0
"201213";"07060604";"07";"06";"06";"04";"2";9467;991;2518;515;0;0;12
"201213";"07070701";"07";"07";"07";"01";"2";4274;661;4297;1178;0;0;6
"201213";"07070702";"07";"07";"07";"02";"2";1143;544;7285;1178;0;0;0
"201213";"07070703";"07";"07";"07";"03";"2";4645;381;1979;647;0;0;0
"201213";"07070704";"07";"07";"07";"04";"2";5844;111;1943;135;0;0;0
"201213";"07070705";"07";"07";"07";"05";"2";0;0;6319;751;0;0;0
"201213";"07070706";"07";"07";"07";"06";"2";0;0;3208;412;0;0;0
"201213";"07070707";"07";"07";"07";"07";"2";464;0;2118;184;0;0;0
"201213";"08010115";"08";"01";"01";"15";"1";0;829;0;0;0;0;0
"201213";"08010116";"08";"01";"01";"16";"1";1995;1522;0;0;0;0;0
"201213";"08010117";"08";"01";"01";"17";"1";14079;2038;0;0;0;0;0
"201213";"08010118";"08";"01";"01";"18";"1";6083;5383;0;0;0;0;0
"201213";"08010211";"08";"01";"02";"11";"1";5417;4604;0;0;0;0;0
"201213";"08010212";"08";"01";"02";"12";"1";4771;2618;0;0;0;0;0
"201213";"08010213";"08";"01";"02";"13";"1";9954;2632;0;0;0;0;0
"201213";"08010214";"08";"01";"02";"14";"1";4539;3655;0;0;0;0;0
"201213";"08010301";"08";"01";"03";"01";"1";21917;5960;0;0;0;0;0
"201213";"08010302";"08";"01";"03";"02";"1";3233;499;0;0;0;0;0
"201213";"08010303";"08";"01";"03";"03";"1";3006;5476;0;0;0;0;0
"201213";"08010404";"08";"01";"04";"04";"1";17947;5215;0;0;0;0;0
"201213";"08010405";"08";"01";"04";"05";"1";7047;1926;0;0;0;0;0
"201213";"08010406";"08";"01";"04";"06";"1";6338;532;0;0;0;0;0
"201213";"08010407";"08";"01";"04";"07";"1";785;9;0;0;0;0;0
"201213";"08010508";"08";"01";"05";"08";"1";4990;328;0;0;0;0;0
"201213";"08010509";"08";"01";"05";"09";"1";7505;1868;0;0;0;0;0
"201213";"08010510";"08";"01";"05";"10";"1";52;224;88;22;0;0;0
"201213";"08020619";"08";"02";"06";"19";"2";4027;2959;2937;11;0;0;0
"201213";"08020620";"08";"02";"06";"20";"2";6764;2396;0;0;0;0;0
"201213";"08020621";"08";"02";"06";"21";"2";1935;194;197;0;0;0;0
"201213";"08020622";"08";"02";"06";"22";"2";2476;895;8582;2145;0;0;0
"201213";"08020623";"08";"02";"06";"23";"2";609;653;0;0;0;0;0
"201213";"08020624";"08";"02";"06";"24";"2";995;132;0;0;0;0;0
"201213";"08020625";"08";"02";"06";"25";"2";1190;1246;794;101;0;0;0
"201213";"08020726";"08";"02";"07";"26";"2";5008;761;2110;397;0;0;0
"201213";"08020727";"08";"02";"07";"27";"2";8854;1301;1159;73;0;0;0
"201213";"08020728";"08";"02";"07";"28";"2";7140;557;520;32;0;0;0
"201213";"08030829";"08";"03";"08";"29";"2";9737;2498;39;3;0;0;0
"201213";"08030830";"08";"03";"08";"30";"2";6355;890;0;0;0;0;0
"201213";"08030831";"08";"03";"08";"31";"2";15673;976;166;70;0;0;0
"201213";"08040932";"08";"04";"09";"32";"2";2736;25;0;0;0;0;0
"201213";"08040933";"08";"04";"09";"33";"2";2465;615;594;267;0;0;0
"201213";"08040934";"08";"04";"09";"34";"2";1983;696;0;0;0;0;0
"201213";"08041035";"08";"04";"10";"35";"2";0;0;6938;744;0;0;0
"201213";"08041036";"08";"04";"10";"36";"2";5572;257;994;0;0;0;6
"201213";"08041037";"08";"04";"10";"37";"2";2832;658;5974;162;0;0;0
"201213";"08041038";"08";"04";"10";"38";"2";5460;543;395;61;0;0;0
"201213";"08041039";"08";"04";"10";"39";"2";99;148;3258;103;0;0;0
"201213";"08041040";"08";"04";"10";"40";"2";6194;575;1019;131;0;0;6
"201213";"09010101";"09";"01";"01";"01";"2";6204;1900;2927;92;0;0;37
"201213";"09051702";"09";"05";"17";"02";"2";6;55;5709;2536;4156;1508;186
"201213";"09051801";"09";"05";"18";"01";"2";52;45;5160;350;2919;439;33
"201213";"09051901";"09";"05";"19";"01";"2";511;568;5647;2865;0;0;88
"201213";"09052001";"09";"05";"20";"01";"2";27;156;8875;3192;0;0;0
"201213";"10010101";"10";"01";"01";"01";"2";5374;217;0;0;0;0;0
"201213";"10010102";"10";"01";"01";"02";"2";16455;1137;0;0;0;0;0
"201213";"10010203";"10";"01";"02";"03";"2";646;15;0;0;0;0;0
"201213";"10010204";"10";"01";"02";"04";"2";7115;224;2839;0;0;0;0
"201213";"10010205";"10";"01";"02";"05";"2";2009;427;4499;1085;0;0;0
"201213";"10010206";"10";"01";"02";"06";"2";6188;515;8670;1050;0;0;0
"201213";"10010207";"10";"01";"02";"07";"2";0;0;7611;2985;0;0;0
"201213";"10010308";"10";"01";"03";"08";"2";746;995;0;0;0;0;25
"201213";"10010309";"10";"01";"03";"09";"2";1946;1535;7461;3554;0;0;0
"201213";"10010310";"10";"01";"03";"10";"2";12235;1001;3677;592;0;0;0
"201213";"10010311";"10";"01";"03";"11";"2";0;0;2314;644;0;0;0
"201213";"10020412";"10";"02";"04";"12";"2";0;0;5101;1339;0;0;0
"201213";"10020413";"10";"02";"04";"13";"2";179;0;11403;3247;0;0;0
