ZEIT;RAUMID;BEZ;PGR;BZR;PLR;STADTRAUM;WLEINFoL;WLEINFmL;WLMIToL;WLMITmL;WLGUToL;WLGUTmL;WLNZORD
201612;01011101;01;01;11;01;1;0;0;0;3;2136;975;0
201612;01011102;01;01;11;02;1;10;11;0;0;126;0;45
201612;01011103;01;01;11;03;1;254;493;2424;1977;316;54;0
201612;01011104;01;01;11;04;1;1839;844;1560;461;0;0;0
201612;01011105;01;01;11;05;1;0;0;63;0;870;202;0
201612;01011201;01;01;12;01;1;0;0;105;344;1094;647;0
201612;01011202;01;01;12;02;1;0;0;48;140;256;164;0
201612;01011203;01;01;12;03;1;0;0;0;0;513;459;32
201612;01011204;01;01;12;04;1;0;0;1866;3577;1335;310;375
201612;01011301;01;01;13;01;1;1979;1191;1111;330;936;884;0
201612;01011302;01;01;13;02;1;1823;2337;5055;1540;717;1060;3
201612;01011303;01;01;13;03;1;520;1181;2111;2153;961;2039;571
201612;01011304;01;01;13;04;1;0;0;3744;4863;0;0;0
201612;01011305;01;01;13;05;1;0;108;3686;3724;0;0;99
201612;01011306;01;01;13;06;1;712;1259;5554;1921;0;0;84
201612;01011401;01;01;14;01;1;3178;5461;7135;296;0;0;261
201612;01011402;01;01;14;02;1;2686;2495;7091;1069;0;0;0
201612;01022101;01;02;21;01;1;1039;2483;0;0;0;0;0
201612;01022102;01;02;21;02;1;3573;2801;0;0;0;0;0
201612;01022103;01;02;21;03;1;6;249;0;3;0;0;0
201612;01022104;01;02;21;04;1;13546;4831;0;0;0;0;0
201612;01022105;01;02;21;05;1;1924;3375;0;0;0;0;0
201612;01022106;01;02;21;06;1;93;460;4202;2006;4765;273;0
201612;01022201;01;02;22;01;1;7232;3980;0;0;0;0;80
201612;01022202;01;02;22;02;1;1030;452;0;0;0;0;6
201612;01022203;01;02;22;03;1;2074;936;2735;1224;0;0;0
201612;01022204;01;02;22;04;1;0;352;4014;1443;3;12;0
201612;01022205;01;02;22;05;1;2448;863;0;0;0;0;0
201612;01022206;01;02;22;06;1;0;0;1045;1441;310;231;0
201612;01022207;01;02;22;07;1;0;0;1150;735;1748;1997;0
201612;01033101;01;03;31;01;1;19308;7533;0;0;0;0;0
201612;01033102;01;03;31;02;1;7829;3857;0;0;0;0;151
201612;01033201;01;03;32;01;1;9062;4195;0;0;0;0;104
201612;01033202;01;03;32;02;1;7475;2251;0;0;0;0;0
201612;01033203;01;03;32;03;1;7290;7188;0;0;0;0;0
201612;01044101;01;04;41;01;1;12960;7675;18;69;0;0;0
201612;01044102;01;04;41;02;1;4926;5197;4602;1513;0;0;0
201612;01044103;01;04;41;03;1;6424;2165;0;0;0;0;0
201612;01044201;01;04;42;01;1;12825;10586;0;0;0;0;13
201612;01044202;01;04;42;02;1;13920;2467;316;0;0;0;0
201612;01044203;01;04;42;03;1;12454;4008;0;0;0;0;0
201612;02010101;02;01;01;01;1;2483;1951;1374;673;0;0;0
201612;02010102;02;01;01;02;1;2989;2009;5622;2658;0;0;0
201612;02010103;02;01;01;03;1;11045;4312;236;0;0;0;0
201612;02010104;02;01;01;04;1;2700;1758;586;0;0;0;0
201612;02020201;02;02;02;01;1;745;166;0;0;0;0;0
201612;02020202;02;02;02;02;1;1633;2997;1198;162;0;0;0
201612;02020203;02;02;02;03;1;2345;6633;1549;300;0;0;59
201612;02020204;02;02;02;04;1;5930;4833;1223;340;0;0;0
201612;02020205;02;02;02;05;1;1380;3379;9259;874;0;0;0
201612;02020206;02;02;02;06;1;5187;5622;8138;105;0;0;0
201612;02030301;02;03;03;01;1;4955;3776;277;84;0;0;0
201612;02030302;02;03;03;02;1;9993;3173;0;0;0;0;0
201612;02030401;02;03;04;01;1;12089;2749;178;43;0;0;97
201612;02030402;02;03;04;02;1;8759;2324;0;0;0;0;0
201612;02040501;02;04;05;01;1;0;0;2229;3152;0;0;0
201612;02040502;02;04;05;02;1;0;0;2700;4481;0;0;0
201612;02040503;02;04;05;03;1;4109;1611;4205;1021;0;0;30
201612;02040701;02;04;07;01;1;0;3;5555;6773;0;0;0
201612;02040702;02;04;07;02;1;2064;1194;4480;2967;0;0;9
201612;02040703;02;04;07;03;1;0;0;239;906;0;0;0
201612;02050601;02;05;06;01;1;5437;3463;0;0;0;0;0
201612;02050602;02;05;06;02;1;6616;2956;8612;2807;0;0;73
201612;02050801;02;05;08;01;1;6512;4047;4625;3888;0;0;21
201612;02050802;02;05;08;02;1;6048;7979;4325;1948;0;0;131
201612;02050803;02;05;08;03;1;4029;2905;0;0;0;0;52
201612;02050804;02;05;08;04;1;0;0;2121;0;2050;0;0
201612;03010101;03;01;01;01;2;317;453;1825;1333;0;0;0
201612;03010102;03;01;01;02;2;7281;1357;1569;1105;0;0;373
201612;03010104;03;01;01;04;2;0;224;0;0;0;0;3
201612;03020203;03;02;02;03;2;1820;134;0;0;0;0;162
201612;03020209;03;02;02;09;2;2453;720;68;0;7628;3845;12
201612;03020210;03;02;02;10;2;2168;572;434;33;6059;1812;54
201612;03020307;03;02;03;07;2;4294;1393;9423;2420;0;0;400
201612;03030405;03;03;04;05;2;1108;0;8857;1011;0;0;10
201612;03030406;03;03;04;06;2;528;0;4470;3225;0;0;22
201612;03030711;03;03;07;11;2;3621;3165;0;9;0;0;15
201612;03030715;03;03;07;15;2;36;136;5663;1473;0;0;80
201612;03030716;03;03;07;16;2;7;3;1098;18;0;0;12
201612;03040508;03;04;05;08;2;19;0;0;0;3691;806;14
201612;03040512;03;04;05;12;2;0;0;381;0;7375;2018;9
201612;03040513;03;04;05;13;2;605;252;221;82;1394;846;12
201612;03040614;03;04;06;14;2;819;1703;19246;10503;2461;567;9
201612;03040818;03;04;08;18;2;6730;2769;19737;4927;0;0;151
201612;03050919;03;05;09;19;2;0;0;4501;1047;6;3;7
201612;03050920;03;05;09;20;2;0;0;2525;1665;2680;524;3
201612;03050923;03;05;09;23;2;3175;1409;2172;2332;0;0;10
201612;03050924;03;05;09;24;2;1449;845;1867;1598;109;0;15
