ZEIT;RAUMID;BEZ;PGR;BZR;PLR;STADTRAUM;WLEINFoL;WLEINFmL;WLMIToL;WLMITmL;WLGUToL;WLGUTmL;WLNZORD
202012;03040513;03;04;05;13;2;375;12;1115;589;625;793;0
202012;03040614;03;04;06;14;2;91;331;19159;12448;4767;444;0
202012;03040818;03;04;08;18;2;0;0;25454;9919;311;54;0
202012;03050919;03;05;09;19;2;414;141;3999;542;0;0;0
202012;03050920;03;05;09;20;2;0;0;2178;1595;3136;642;0
202012;03050923;03;05;09;23;2;2053;1185;3896;2912;0;0;3
202012;03050924;03;05;09;24;2;590;600;2521;1118;869;709;0
202012;03050925;03;05;09;25;2;0;0;3804;1383;4276;356;0
202012;03051017;03;05;10;17;2;285;493;2227;1204;0;0;3
202012;03051021;03;05;10;21;2;0;0;5712;1269;0;0;0
202012;03051022;03;05;10;22;2;0;0;3069;1571;0;0;0
202012;03061126;03;06;11;26;1;0;0;7274;7308;1587;86;0
202012;03061131;03;06;11;31;1;0;0;4821;1668;2143;2088;24
202012;03061227;03;06;12;27;1;0;0;5188;3583;3714;2147;0
202012;03061228;03;06;12;28;1;0;0;6842;4304;1187;480;0
202012;03061332;03;06;13;32;1;0;0;960;693;15114;5767;0
202012;03061429;03;06;14;29;1;902;1068;5453;1736;811;0;0
202012;03061430;03;06;14;30;1;1830;2135;0;0;0;0;0
202012;03061434;03;06;14;34;1;0;0;4654;1719;0;0;0
202012;03061435;03;06;14;35;1;0;0;1672;2391;0;0;0
202012;03061441;03;06;14;41;1;0;0;2542;283;0;0;0
202012;03071536;03;07;15;36;1;0;0;82;258;7261;3727;0
202012;03071537;03;07;15;37;1;0;0;0;0;12244;3686;0
202012;03071633;03;07;16;33;1;0;0;2629;559;0;0;0
202012;03071638;03;07;16;38;1;0;0;2214;4452;9404;1542;0
202012;03071639;03;07;16;39;1;0;0;488;2586;7723;2023;3
202012;04010101;04;01;01;01;2;3587;286;5059;1833;0;0;0
202012;04010102;04;01;01;02;2;253;530;0;0;0;0;0
202012;04010103;04;01;01;03;2;4853;3002;0;0;0;0;0
