ZEIT;RAUMID;BEZ;PGR;BZR;PLR;STADTRAUM;WLEINFoL;WLEINFmL;WLMIToL;WLMITmL;WLGUToL;WLGUTmL;WLNZORD
201712;1011101;1;1;11;1;1;0;0;0;0;2166;1059;0
201712;1011102;1;1;11;2;1;40;6;0;0;124;0;15
201712;1011103;1;1;11;3;1;243;513;2475;1564;313;65;0
201712;1011104;1;1;11;4;1;1018;842;2472;454;0;0;0
201712;1011105;1;1;11;5;1;0;0;66;0;948;211;0
201712;1011201;1;1;12;1;1;0;0;98;327;1207;678;0
201712;1011202;1;1;12;2;1;0;0;48;134;261;164;0
201712;1011203;1;1;12;3;1;0;0;0;0;602;484;0
201712;1011204;1;1;12;4;1;0;0;2593;3646;1338;292;0
201712;1011301;1;1;13;1;1;470;254;2731;1401;991;934;0
201712;1011302;1;1;13;2;1;1378;2039;5553;1969;694;1044;0
201712;1011303;1;1;13;3;1;363;782;3061;2574;1014;2101;3
201712;1011304;1;1;13;4;1;0;0;3799;4867;0;0;0
201712;1011305;1;1;13;5;1;0;112;3976;3739;0;0;6
201712;1011306;1;1;13;6;1;805;1481;6043;1943;0;0;56
201712;1011401;1;1;14;1;1;2999;4236;8279;1850;0;0;0
201712;1011402;1;1;14;2;1;1560;2251;8250;1446;0;0;0
201712;1022101;1;2;21;1;1;1097;2530;0;0;0;0;0
201712;1022102;1;2;21;2;1;3690;2827;0;0;0;0;0
201712;1022103;1;2;21;3;1;10;242;0;6;0;0;0
201712;1022104;1;2;21;4;1;13903;4917;0;0;0;0;0
201712;1022105;1;2;21;5;1;1975;3379;0;0;0;0;0
201712;1022106;1;2;21;6;1;86;458;4302;1572;4779;247;19
201712;1022201;1;2;22;1;1;7137;3883;0;0;0;0;0
201712;1022202;1;2;22;2;1;1137;404;0;0;0;0;77
201712;1022203;1;2;22;3;1;2130;964;2794;1234;0;0;0
201712;1022204;1;2;22;4;1;0;329;4109;1557;3;12;0
201712;1022205;1;2;22;5;1;2459;870;0;0;0;0;0
201712;1022206;1;2;22;6;1;0;0;963;1492;351;206;0
201712;1022207;1;2;22;7;1;0;0;1188;764;1686;2089;0
201712;1033101;1;3;31;1;1;19247;7561;0;0;0;0;0
201712;1033102;1;3;31;2;1;8322;3798;0;0;0;0;0
201712;1033201;1;3;32;1;1;9370;3890;34;0;0;0;183
201712;1033202;1;3;32;2;1;7473;2316;0;0;0;0;0
201712;1033203;1;3;32;3;1;7343;7130;0;0;0;0;0
201712;1044101;1;4;41;1;1;12947;7893;23;57;0;0;0
201712;1044102;1;4;41;2;1;4997;5218;4714;1491;0;0;0
201712;1044103;1;4;41;3;1;6551;2125;0;0;0;0;0
201712;1044201;1;4;42;1;1;13381;10918;0;0;0;0;3
201712;1044202;1;4;42;2;1;14040;2575;311;0;0;0;0
201712;1044203;1;4;42;3;1;12538;4119;0;0;0;0;0
201712;2010101;2;1;1;1;1;2534;1704;1602;807;0;0;0
201712;2010102;2;1;1;2;1;2904;2033;5842;2654;0;0;0
201712;2010103;2;1;1;3;1;10798;4332;250;0;0;0;0
201712;2010104;2;1;1;4;1;2664;1771;580;0;0;0;0
201712;2020201;2;2;2;1;1;123;144;691;18;0;0;0
201712;2020202;2;2;2;2;1;1662;2971;1201;164;0;0;0
201712;2020203;2;2;2;3;1;2112;5629;1851;1328;0;0;0
201712;2020204;2;2;2;4;1;6119;4832;1252;361;0;0;0
201712;2020205;2;2;2;5;1;807;3285;9900;1011;0;0;0
201712;2020206;2;2;2;6;1;5283;5538;8093;127;0;0;0
201712;2030301;2;3;3;1;1;4925;3772;264;79;0;0;0
201712;2030302;2;3;3;2;1;9992;3139;0;0;0;0;0
201712;2030401;2;3;4;1;1;11354;2765;1091;54;0;0;0
201712;2030402;2;3;4;2;1;8806;2312;0;0;0;0;0
201712;2040501;2;4;5;1;1;0;0;2275;3122;0;0;0
201712;2040502;2;4;5;2;1;0;0;2762;4507;0;0;0
201712;2040503;2;4;5;3;1;4220;1650;4217;1014;0;0;0
201712;2040701;2;4;7;1;1;6;0;5569;6943;0;0;10
201712;2040702;2;4;7;2;1;2105;1252;4432;2975;0;0;0
201712;2040703;2;4;7;3;1;0;0;235;935;0;0;0
201712;2050601;2;5;6;1;1;5477;3471;0;0;0;0;0
201712;2050602;2;5;6;2;1;6360;2786;9431;2907;0;0;0
201712;2050801;2;5;8;1;1;0;263;11240;7789;0;0;0
201712;2050802;2;5;8;2;1;1249;2513;9502;7549;0;0;0
201712;2050803;2;5;8;3;1;4330;2878;0;0;0;0;0
201712;2050804;2;5;8;4;1;0;0;2267;6;2163;0;34
201712;3010101;3;1;1;1;2;325;287;1825;1599;0;0;0
201712;3010102;3;1;1;2;2;8172;1421;1609;1117;0;0;0
201712;3010104;3;1;1;4;2;10;219;0;0;0;0;0
201712;3020203;3;2;2;3;2;1917;152;100;0;0;0;0
201712;3020209;3;2;2;9;2;2546;714;75;0;7800;3828;0
201712;3020210;3;2;2;10;2;2067;530;461;37;6162;1942;91
201712;3020307;3;2;3;7;2;4491;1411;9875;2460;0;0;9
201712;3030405;3;3;4;5;2;1485;0;8976;965;0;0;0
201712;3030406;3;3;4;6;2;515;0;4477;3190;0;0;3
201712;3030711;3;3;7;11;2;3626;3120;94;15;0;0;0
201712;3030715;3;3;7;15;2;42;130;5692;1570;0;0;52
201712;3030716;3;3;7;16;2;3;3;1078;36;0;0;3
