ZEIT;RAUMID;BEZ;PGR;BZR;PLR;STADTRAUM;WLEINFoL;WLEINFmL;WLMIToL;WLMITmL;WLGUToL;WLGUTmL;WLNZORD
201512;01011101;01;01;11;01;1;0;0;0;3;2085;1002;0
201512;01011102;01;01;11;02;1;15;15;0;0;123;0;49
201512;01011103;01;01;11;03;1;249;546;2375;1938;327;54;0
201512;01011104;01;01;11;04;1;1574;864;1599;523;0;0;0
201512;01011105;01;01;11;05;1;0;0;39;0;920;151;0
201512;01011201;01;01;12;01;1;0;0;82;359;1028;557;0
201512;01011202;01;01;12;02;1;0;0;75;116;235;123;0
201512;01011203;01;01;12;03;1;0;0;0;0;511;451;0
201512;01011204;01;01;12;04;1;0;0;1623;3591;1279;269;3
201512;01011301;01;01;13;01;1;1799;1142;1134;312;962;824;0
201512;01011302;01;01;13;02;1;1697;2317;5020;1550;679;1018;0
201512;01011303;01;01;13;03;1;523;1178;2094;1967;945;1961;218
201512;01011304;01;01;13;04;1;0;0;3688;4791;0;0;0
201512;01011305;01;01;13;05;1;0;107;3557;3599;0;0;18
201512;01011306;01;01;13;06;1;732;1071;5243;1815;0;0;0
201512;01011401;01;01;14;01;1;3113;5346;6966;314;0;0;12
201512;01011402;01;01;14;02;1;2719;2343;6859;1093;0;0;0
201512;01022101;01;02;21;01;1;986;2465;0;0;0;0;0
201512;01022102;01;02;21;02;1;3596;2740;0;0;0;0;0
201512;01022103;01;02;21;03;1;0;248;0;3;0;0;0
201512;01022104;01;02;21;04;1;13440;4600;0;0;0;0;0
201512;01022105;01;02;21;05;1;1940;3332;0;0;0;0;0
201512;01022106;01;02;21;06;1;79;429;4224;1803;4753;259;0
201512;01022201;01;02;22;01;1;7098;3685;0;0;0;0;0
201512;01022202;01;02;22;02;1;1039;439;0;0;0;0;0
201512;01022203;01;02;22;03;1;2041;914;2716;1215;0;0;0
201512;01022204;01;02;22;04;1;0;440;4030;1394;10;3;0
201512;01022205;01;02;22;05;1;2392;844;0;0;0;0;0
201512;01022206;01;02;22;06;1;0;0;1073;1430;283;244;0
201512;01022207;01;02;22;07;1;0;0;1242;664;1715;2050;0
201512;01033101;01;03;31;01;1;19225;7357;0;0;0;0;0
201512;01033102;01;03;31;02;1;8025;3647;0;0;0;0;0
201512;01033201;01;03;32;01;1;9089;3899;0;0;0;0;0
201512;01033202;01;03;32;02;1;7600;2180;0;0;0;0;0
201512;01033203;01;03;32;03;1;7230;6935;0;0;0;0;0
201512;01044101;01;04;41;01;1;12545;7651;22;64;0;0;0
