ZEIT;RAUMID;BEZ;PGR;BZR;PLR;STADTRAUM;WLEINFoL;WLEINFmL;WLMIToL;WLMITmL;WLGUToL;WLGUTmL;WLNZORD
201812;01011101;01;01;11;01;1;0;0;0;0;2257;1127;0
201812;01011102;01;01;11;02;1;39;12;0;0;130;0;15
201812;01011103;01;01;11;03;1;219;507;2475;1442;325;70;0
201812;01011104;01;01;11;04;1;914;838;2552;455;0;0;0
201812;01011105;01;01;11;05;1;0;0;79;0;1092;250;0
201812;01011201;01;01;12;01;1;0;0;112;310;1303;680;0
201812;01011202;01;01;12;02;1;0;0;57;118;285;172;0
201812;01011203;01;01;12;03;1;0;0;0;0;606;509;0
201812;01011204;01;01;12;04;1;0;0;2930;3682;1376;284;7
201812;01011301;01;01;13;01;1;537;273;2788;1351;1036;934;0
201812;01011302;01;01;13;02;1;1357;2011;5536;1996;681;981;10
201812;01011303;01;01;13;03;1;333;787;3205;2542;1051;2081;0
201812;01011304;01;01;13;04;1;0;0;3797;4964;0;0;0
201812;01011305;01;01;13;05;1;0;112;4118;3908;0;0;105
201812;01011306;01;01;13;06;1;818;1447;6299;1970;0;0;73
201812;01011401;01;01;14;01;1;3334;4477;8325;1812;0;0;0
201812;01011402;01;01;14;02;1;1516;2291;8383;1455;0;0;0
201812;01022101;01;02;21;01;1;1099;2458;0;0;0;0;0
201812;01022102;01;02;21;02;1;3631;3042;0;0;0;0;36
201812;01022103;01;02;21;03;1;9;259;0;4;0;0;0
201812;01022104;01;02;21;04;1;14110;4864;0;0;0;0;0
201812;01022105;01;02;21;05;1;2000;3426;0;0;0;0;0
201812;01022106;01;02;21;06;1;72;461;4243;1649;4692;277;27
201812;01022201;01;02;22;01;1;7146;3881;0;0;0;0;0
201812;01022202;01;02;22;02;1;1169;401;0;0;0;0;925
201812;01022203;01;02;22;03;1;2130;898;2826;1229;0;0;0
201812;01022204;01;02;22;04;1;0;297;4134;1787;6;12;0
201812;01022205;01;02;22;05;1;2498;851;0;0;0;0;0
201812;01022206;01;02;22;06;1;0;0;1004;1474;358;208;0
201812;01022207;01;02;22;07;1;0;0;1326;743;1732;1970;0
201812;01033101;01;03;31;01;1;19507;7581;0;0;0;0;0
201812;01033102;01;03;31;02;1;8314;3749;0;0;0;0;0
201812;01033201;01;03;32;01;1;9216;3902;34;0;0;0;767
201812;01033202;01;03;32;02;1;7655;2493;0;0;0;0;125
201812;01033203;01;03;32;03;1;7429;7084;0;0;0;0;171
201812;01044101;01;04;41;01;1;12954;7978;31;60;0;0;0
201812;01044102;01;04;41;02;1;5089;5304;4682;1555;0;0;0
201812;01044103;01;04;41;03;1;6532;2152;0;0;0;0;0
201812;01044201;01;04;42;01;1;13385;10933;0;0;0;0;38
201812;01044202;01;04;42;02;1;14137;2627;301;0;0;0;57
201812;01044203;01;04;42;03;1;12248;4080;0;0;0;0;0
201812;02010101;02;01;01;01;1;2346;1775;1739;963;0;0;0
201812;02010102;02;01;01;02;1;2975;2000;5903;2610;0;0;205
201812;02010103;02;01;01;03;1;10704;4347;251;0;0;0;0
201812;02010104;02;01;01;04;1;2687;1792;607;0;0;0;0
201812;02020201;02;02;02;01;1;132;167;681;42;0;0;768
201812;02020202;02;02;02;02;1;1675;3028;1233;163;0;0;0
201812;02020203;02;02;02;03;1;2156;5751;1834;1315;0;0;0
201812;02020204;02;02;02;04;1;6228;4979;1303;298;0;0;0
201812;02020205;02;02;02;05;1;814;3317;9920;1056;0;0;0
201812;02020206;02;02;02;06;1;5197;5541;8199;103;0;0;0
201812;02030301;02;03;03;01;1;4891;3758;293;54;0;0;0
201812;02030302;02;03;03;02;1;9935;3196;0;0;0;0;0
201812;02030401;02;03;04;01;1;11373;2751;1042;85;0;0;12
201812;02030402;02;03;04;02;1;8799;2373;0;0;0;0;0
201812;02040501;02;04;05;01;1;0;0;2281;3109;0;0;0
201812;02040502;02;04;05;02;1;0;0;2892;4536;0;0;15
201812;02040503;02;04;05;03;1;4356;1557;4191;1017;0;0;36
201812;02040701;02;04;07;01;1;4;0;5860;7109;0;0;178
201812;02040702;02;04;07;02;1;2044;1465;4473;2991;0;0;0
201812;02040703;02;04;07;03;1;0;0;235;920;0;0;0
201812;02050601;02;05;06;01;1;5662;3462;0;0;0;0;0
201812;02050602;02;05;06;02;1;6407;2775;9510;3038;0;0;0
201812;02050801;02;05;08;01;1;0;262;11420;8090;0;0;256
201812;02050802;02;05;08;02;1;1286;2525;9642;7778;0;0;49
201812;02050803;02;05;08;03;1;4608;2990;0;0;0;0;0
201812;02050804;02;05;08;04;1;0;0;2321;0;2307;10;87
201812;03010101;03;01;01;01;2;415;322;1796;1586;0;0;0
201812;03010102;03;01;01;02;2;8171;1408;1666;1103;0;0;0
201812;03010104;03;01;01;04;2;15;224;0;0;0;0;0
201812;03020203;03;02;02;03;2;1901;156;228;0;0;0;0
201812;03020209;03;02;02;09;2;2540;727;70;0;7828;3799;3
201812;03020210;03;02;02;10;2;2134;447;449;39;6183;1984;252
201812;03020307;03;02;03;07;2;4483;1527;9902;2383;0;0;9
201812;03030405;03;03;04;05;2;1443;0;8933;976;0;0;0
201812;03030406;03;03;04;06;2;504;3;4460;3239;0;0;19
201812;03030711;03;03;07;11;2;3658;3099;73;30;0;0;9
201812;03030715;03;03;07;15;2;33;118;5813;1553;0;0;147
201812;03030716;03;03;07;16;2;4;4;1085;38;0;0;0
201812;03040508;03;04;05;08;2;25;0;0;0;3856;701;6
201812;03040512;03;04;05;12;2;174;0;597;0;7237;2045;21
201812;03040513;03;04;05;13;2;587;258;230;68;1367;846;0
201812;03040614;03;04;06;14;2;781;1068;20264;11285;2472;567;50
201812;03040818;03;04;08;18;2;4674;2360;22373;5393;0;0;0
201812;03050919;03;05;09;19;2;0;0;4523;1042;3;9;6
201812;03050920;03;05;09;20;2;0;0;2470;1891;2706;357;6
201812;03050923;03;05;09;23;2;3444;1498;2244;2488;0;0;0
201812;03050924;03;05;09;24;2;1596;877;2076;1481;110;0;0
201812;03050925;03;05;09;25;2;0;0;8136;1619;0;0;0
201812;03051017;03;05;10;17;2;373;195;2534;1148;0;0;0
201812;03051021;03;05;10;21;2;0;0;5347;1121;0;0;0
201812;03051022;03;05;10;22;2;0;46;3254;1351;0;0;0
201812;03061126;03;06;11;26;1;5360;6474;2733;1121;0;0;0
201812;03061131;03;06;11;31;1;4783;1737;2208;2027;0;0;0
201812;03061227;03;06;12;27;1;569;1547;8558;3975;0;0;0
201812;03061228;03;06;12;28;1;546;2239;7407;2595;0;0;0
201812;03061332;03;06;13;32;1;288;396;15984;6205;0;0;0
201812;03061429;03;06;14;29;1;3018;1506;4437;1040;0;0;0
201812;03061430;03;06;14;30;1;72;1228;1830;996;0;0;0
201812;03061434;03;06;14;34;1;2433;1031;2158;838;0;0;12
201812;03061435;03;06;14;35;1;993;1422;682;844;0;0;0
201812;03061441;03;06;14;41;1;0;0;2562;98;0;0;0
201812;03071536;03;07;15;36;1;98;221;7254;3564;0;0;0
201812;03071537;03;07;15;37;1;0;0;4496;3550;7875;106;0
201812;03071633;03;07;16;33;1;2394;106;498;231;0;0;0
201812;03071638;03;07;16;38;1;1958;2944;9790;3017;0;0;0
201812;03071639;03;07;16;39;1;45;1919;8984;1729;0;0;61
201812;04010101;04;01;01;01;2;1350;302;7724;1403;6;0;0
201812;04010102;04;01;01;02;2;174;351;208;79;0;0;0
201812;04010103;04;01;01;03;2;1017;280;4529;2055;0;0;0
201812;04020204;04;02;02;04;2;104;0;0;0;53;21;3
201812;04020205;04;02;02;05;2;0;0;0;0;907;422;0
201812;04020206;04;02;02;06;2;0;0;0;0;2718;145;6
201812;04020207;04;02;02;07;2;13;0;117;0;1949;480;0
201812;04020208;04;02;02;08;2;0;0;0;0;2468;454;0
201812;04020209;04;02;02;09;2;0;0;0;0;2644;570;0
201812;04020310;04;02;03;10;2;15;197;222;182;0;0;0
201812;04020311;04;02;03;11;2;0;0;0;0;8888;6183;0
201812;04020312;04;02;03;12;2;0;0;0;0;4359;1193;0
201812;04020313;04;02;03;13;2;0;0;667;1830;2563;2392;0
201812;04020314;04;02;03;14;2;0;6;0;0;0;6;0
201812;04030415;04;03;04;15;1;0;0;1999;1040;9;0;0
201812;04030416;04;03;04;16;1;0;0;8370;2282;0;0;0
201812;04030417;04;03;04;17;1;0;0;5388;4113;1472;3;0
201812;04030518;04;03;05;18;1;1075;1983;3628;2631;257;7;0
201812;04030519;04;03;05;19;1;378;1046;2932;1415;69;58;3
201812;04030620;04;03;06;20;1;0;222;4976;2445;1125;100;19
201812;04030621;04;03;06;21;1;1109;1426;438;53;0;0;0
201812;04030622;04;03;06;22;1;0;0;3618;3191;3193;831;0
201812;04030623;04;03;06;23;1;0;0;2066;778;599;1606;0
201812;04030724;04;03;07;24;1;0;0;0;0;3507;2983;0
201812;04030725;04;03;07;25;1;0;430;0;1756;4930;5186;0
201812;04030726;04;03;07;26;1;0;0;0;268;4205;1322;0
201812;04030827;04;03;08;27;1;0;224;4199;3155;2646;2011;0
201812;04030828;04;03;08;28;1;0;0;0;0;5146;4507;15
201812;04030929;04;03;09;29;1;0;0;1394;758;3198;722;0
201812;04030930;04;03;09;30;1;0;0;0;0;2907;2742;0
201812;04030931;04;03;09;31;1;0;0;0;0;2125;1586;0
201812;04031032;04;03;10;32;1;0;49;1137;607;6859;6976;0
201812;04041133;04;04;11;33;2;0;30;0;0;0;30;0
201812;04041134;04;04;11;34;2;0;0;0;78;3057;2093;0
201812;04041135;04;04;11;35;2;0;0;0;0;2071;758;0
201812;04041136;04;04;11;36;2;0;0;0;0;2533;539;0
